"Path","SizeKB","Width","Height"
"public\2026\projects\contemporary_city_house\16_contemporary minimalist microcement bathroom interior design by RAIZ.webp","138,7","",""
"public\2026\projects\fotos_capa_menu_projectos\aroeira_weekend_house.webp","125,9","",""
"public\2026\projects\principe_real_pombaline_restoration\02.webp","117,5","",""
"public\2026\services\fotos_capa_menu_servi_os\architecture_and_interior_design_projects_workspace_by_raiz.webp","106,5","",""
"public\2026\services\architecture_and_interior_design_projects_workspace_by_raiz.webp","106,5","",""
"public\2026\projects\contemporary_city_house\08_contemporary minimalist microcement wood kitchen interior design by RAIZ.webp","105,1","",""
"public\2026\projects\contemporary_city_house\11_contemporary minimalist suspended staircase interior architecture by RAIZ.webp","100,5","",""
"public\2026\projects\fotos_capa_menu_projectos\store_and_restauration_atelier.webp","92","",""
"public\2026\services\styling\raiz_202404_tp1_027.webp","90,5","",""
"public\2026\services\consultancy\chatgpt_image_4_02_2026_12_53_50.webp","60","",""
"public\2026\services\consultancy\chatgpt_image_4_02_2026_11_29_17.webp","51,2","",""
"public\2026\services\consultancy.jpg","37,6","736","736"
"public\2026\services\fotos_capa_menu_servi_os\consultancy.jpg","37,6","736","736"
"public\2026\services\styling_and_staging.webp","36,9","",""
"public\2026\services\fotos_capa_menu_servi_os\styling_and_staging.webp","36,9","",""
"public\2026\services\styling\31d57e06_0c61_42d2_9caa_b6dd526b0e06.webp","30,5","",""
"public\2026\home\galeria_inicial\img_0820_snapseedcopy.webp","24,7","",""
"public\2026\services\fotos_capa_menu_servi_os\consultancy.webp","17,8","",""
"public\2026\services\consultancy.webp","17,8","",""
